t,feldman_commit_avg_s,feldman_verify_all_avg_s,pedersen_commit_avg_s,pedersen_verify_all_avg_s,n
2,7.750002017322306e-07,5.296666252737244e-06,1.6299997999643287e-06,7.006666661861042e-06,6
3,9.483335209855188e-07,6.8649998866021635e-06,2.07833327294793e-06,8.836666408266562e-06,6
4,1.1766661676423003e-06,9.111667410858597e-06,2.4316669926823427e-06,1.0371666697513622e-05,6
5,8.966671884991229e-07,6.861666770419106e-06,1.7933330430726832e-06,8.756666526702853e-06,6
6,1.138333270015816e-06,9.501666500000284e-06,3.1583333717814336e-06,1.079333342204336e-05,6
